start,end,value,accn,fy,fp,form,metric,CIK,CompanyName
2025-01-01,2025-03-31,18405000000,0001018724-25-000036,2025,Q1,10-Q,OperatingIncomeLoss,0001018724,Amazon
2025-01-01,2025-06-30,37576000000,0001018724-25-000086,2025,Q2,10-Q,OperatingIncomeLoss,0001018724,Amazon
2025-04-01,2025-06-30,19171000000,0001018724-25-000086,2025,Q2,10-Q,OperatingIncomeLoss,0001018724,Amazon
2025-01-01,2025-03-31,17127000000,0001018724-25-000036,2025,Q1,10-Q,NetIncomeLoss,0001018724,Amazon
2025-01-01,2025-06-30,35291000000,0001018724-25-000086,2025,Q2,10-Q,NetIncomeLoss,0001018724,Amazon
2025-04-01,2025-06-30,18164000000,0001018724-25-000086,2025,Q2,10-Q,NetIncomeLoss,0001018724,Amazon
2025-01-01,2025-03-31,4553000000,0001018724-25-000036,2025,Q1,10-Q,IncomeTaxExpenseBenefit,0001018724,Amazon
2025-01-01,2025-06-30,7231000000,0001018724-25-000086,2025,Q2,10-Q,IncomeTaxExpenseBenefit,0001018724,Amazon
2025-04-01,2025-06-30,2678000000,0001018724-25-000086,2025,Q2,10-Q,IncomeTaxExpenseBenefit,0001018724,Amazon
2025-01-01,2025-03-31,14262000000,0001018724-25-000036,2025,Q1,10-Q,DepreciationDepletionAndAmortization,0001018724,Amazon
2025-01-01,2025-06-30,29489000000,0001018724-25-000086,2025,Q2,10-Q,DepreciationDepletionAndAmortization,0001018724,Amazon
2025-04-01,2025-06-30,15227000000,0001018724-25-000086,2025,Q2,10-Q,DepreciationDepletionAndAmortization,0001018724,Amazon
2025-01-01,2025-03-31,17015000000,0001018724-25-000036,2025,Q1,10-Q,NetCashProvidedByUsedInOperatingActivities,0001018724,Amazon
2025-01-01,2025-06-30,49530000000,0001018724-25-000086,2025,Q2,10-Q,NetCashProvidedByUsedInOperatingActivities,0001018724,Amazon
2025-04-01,2025-06-30,32515000000,0001018724-25-000086,2025,Q2,10-Q,NetCashProvidedByUsedInOperatingActivities,0001018724,Amazon
2025-01-01,2025-03-31,-29803000000,0001018724-25-000036,2025,Q1,10-Q,NetCashProvidedByUsedInInvestingActivities,0001018724,Amazon
2025-01-01,2025-06-30,-69227000000,0001018724-25-000086,2025,Q2,10-Q,NetCashProvidedByUsedInInvestingActivities,0001018724,Amazon
2025-04-01,2025-06-30,-39424000000,0001018724-25-000086,2025,Q2,10-Q,NetCashProvidedByUsedInInvestingActivities,0001018724,Amazon
2025-01-01,2025-03-31,-47000000,0001018724-25-000036,2025,Q1,10-Q,NetCashProvidedByUsedInFinancingActivities,0001018724,Amazon
2025-01-01,2025-06-30,-2586000000,0001018724-25-000086,2025,Q2,10-Q,NetCashProvidedByUsedInFinancingActivities,0001018724,Amazon
2025-04-01,2025-06-30,-2539000000,0001018724-25-000086,2025,Q2,10-Q,NetCashProvidedByUsedInFinancingActivities,0001018724,Amazon
2025-01-01,2025-03-31,-308000000,0001018724-25-000036,2025,Q1,10-Q,OtherOperatingIncomeExpenseNet,0001018724,Amazon
2025-01-01,2025-06-30,-507000000,0001018724-25-000086,2025,Q2,10-Q,OtherOperatingIncomeExpenseNet,0001018724,Amazon
2025-04-01,2025-06-30,-199000000,0001018724-25-000086,2025,Q2,10-Q,OtherOperatingIncomeExpenseNet,0001018724,Amazon
2025-01-01,2025-03-31,3274000000,0001018724-25-000036,2025,Q1,10-Q,NonoperatingIncomeExpense,0001018724,Amazon
2025-01-01,2025-06-30,4960000000,0001018724-25-000086,2025,Q2,10-Q,NonoperatingIncomeExpense,0001018724,Amazon
2025-04-01,2025-06-30,1686000000,0001018724-25-000086,2025,Q2,10-Q,NonoperatingIncomeExpense,0001018724,Amazon
2025-01-01,2025-03-31,16247000000,0001018724-25-000036,2025,Q1,10-Q,ComprehensiveIncomeNetOfTax,0001018724,Amazon
2025-01-01,2025-06-30,37745000000,0001018724-25-000086,2025,Q2,10-Q,ComprehensiveIncomeNetOfTax,0001018724,Amazon
2025-04-01,2025-06-30,21498000000,0001018724-25-000086,2025,Q2,10-Q,ComprehensiveIncomeNetOfTax,0001018724,Amazon
2025-01-01,2025-03-31,76976000000,0001018724-25-000036,2025,Q1,10-Q,CostOfGoodsAndServicesSold,0001018724,Amazon
2025-01-01,2025-06-30,1.57785E+11,0001018724-25-000086,2025,Q2,10-Q,CostOfGoodsAndServicesSold,0001018724,Amazon
2025-04-01,2025-06-30,80809000000,0001018724-25-000086,2025,Q2,10-Q,CostOfGoodsAndServicesSold,0001018724,Amazon
2025-01-01,2025-03-31,1.09575E+11,0000731766-25-000131,2025,Q1,10-Q,Revenues,0000731766,UnitedHealth Group
2025-01-01,2025-06-30,2.21191E+11,0000731766-25-000236,2025,Q2,10-Q,Revenues,0000731766,UnitedHealth Group
2025-04-01,2025-06-30,1.11616E+11,0000731766-25-000236,2025,Q2,10-Q,Revenues,0000731766,UnitedHealth Group
2025-01-01,2025-03-31,9119000000,0000731766-25-000131,2025,Q1,10-Q,OperatingIncomeLoss,0000731766,UnitedHealth Group
2025-01-01,2025-06-30,14269000000,0000731766-25-000236,2025,Q2,10-Q,OperatingIncomeLoss,0000731766,UnitedHealth Group
2025-04-01,2025-06-30,5150000000,0000731766-25-000236,2025,Q2,10-Q,OperatingIncomeLoss,0000731766,UnitedHealth Group
2025-01-01,2025-03-31,6292000000,0000731766-25-000131,2025,Q1,10-Q,NetIncomeLoss,0000731766,UnitedHealth Group
2025-01-01,2025-06-30,9698000000,0000731766-25-000236,2025,Q2,10-Q,NetIncomeLoss,0000731766,UnitedHealth Group
